dttm,uni_meteo
2021-12-13T00:00:00Z,4.793294
2021-12-13T01:00:00Z,4.920958
2021-12-13T02:00:00Z,5.210452
2021-12-13T03:00:00Z,5.111493
2021-12-13T04:00:00Z,4.683444
2021-12-13T05:00:00Z,3.789137
2021-12-13T06:00:00Z,3.350054
2021-12-13T07:00:00Z,3.024318
2021-12-13T08:00:00Z,2.683729
2021-12-13T09:00:00Z,2.923671
2021-12-13T10:00:00Z,2.924943
2021-12-13T11:00:00Z,3.943239
2021-12-13T12:00:00Z,5.793627
2021-12-13T13:00:00Z,8.430618
2021-12-13T14:00:00Z,9.846099
2021-12-13T15:00:00Z,9.891508
2021-12-13T16:00:00Z,8.406984
2021-12-13T17:00:00Z,7.235691
2021-12-13T18:00:00Z,5.736312
2021-12-13T19:00:00Z,4.959928
2021-12-13T20:00:00Z,4.289629
2021-12-13T21:00:00Z,3.657797
2021-12-13T22:00:00Z,3.175737
2021-12-13T23:00:00Z,2.835404
2021-12-14T00:00:00Z,2.977258
2021-12-14T01:00:00Z,2.534303
2021-12-14T02:00:00Z,2.145208
2021-12-14T03:00:00Z,2.239158
2021-12-14T04:00:00Z,1.6879440000000001
2021-12-14T05:00:00Z,1.531975
2021-12-14T06:00:00Z,1.234
2021-12-14T07:00:00Z,1.649405
2021-12-14T08:00:00Z,2.063154
2021-12-14T09:00:00Z,2.225342
2021-12-14T10:00:00Z,2.559954
2021-12-14T11:00:00Z,3.13448
2021-12-14T12:00:00Z,4.565532
2021-12-14T13:00:00Z,4.027928
2021-12-14T14:00:00Z,4.324934
2021-12-14T15:00:00Z,4.485476
2021-12-14T16:00:00Z,4.697997
2021-12-14T17:00:00Z,4.618997
2021-12-14T18:00:00Z,4.367371
2021-12-14T19:00:00Z,3.989928
2021-12-14T20:00:00Z,3.45917
2021-12-14T21:00:00Z,3.1696
2021-12-14T22:00:00Z,2.988919
2021-12-14T23:00:00Z,3.203249
2021-12-15T00:00:00Z,3.355405
2021-12-15T01:00:00Z,3.413678
2021-12-15T02:00:00Z,3.272234
2021-12-15T03:00:00Z,3.272382
2021-12-15T04:00:00Z,3.153969
2021-12-15T05:00:00Z,3.236757
2021-12-15T06:00:00Z,3.357379
2021-12-15T07:00:00Z,3.431352
2021-12-15T08:00:00Z,3.437766
2021-12-15T09:00:00Z,3.297994
2021-12-15T10:00:00Z,3.210137
2021-12-15T11:00:00Z,3.553482
2021-12-15T12:00:00Z,3.910635
2021-12-15T13:00:00Z,4.063314
2021-12-15T14:00:00Z,4.289742
2021-12-15T15:00:00Z,4.38196
2021-12-15T16:00:00Z,4.428482
2021-12-15T17:00:00Z,4.506679
2021-12-15T18:00:00Z,4.46974
2021-12-15T19:00:00Z,4.376222
2021-12-15T20:00:00Z,4.422246
2021-12-15T21:00:00Z,4.30433
2021-12-15T22:00:00Z,4.141157
2021-12-15T23:00:00Z,4.144106
2021-12-16T00:00:00Z,4.18836
2021-12-16T01:00:00Z,4.018056
2021-12-16T02:00:00Z,3.879855
2021-12-16T03:00:00Z,3.820657
2021-12-16T04:00:00Z,3.574151
2021-12-16T05:00:00Z,3.41221
2021-12-16T06:00:00Z,3.292232
2021-12-16T07:00:00Z,3.012123
2021-12-16T08:00:00Z,2.770231
2021-12-16T09:00:00Z,2.834833
2021-12-16T10:00:00Z,2.979378
2021-12-16T11:00:00Z,3.836819
2021-12-16T12:00:00Z,4.669
2021-12-16T13:00:00Z,5.047847
2021-12-16T14:00:00Z,5.28486
2021-12-16T15:00:00Z,5.418278
2021-12-16T16:00:00Z,5.432779
2021-12-16T17:00:00Z,5.288179
2021-12-16T18:00:00Z,5.122908
2021-12-16T19:00:00Z,5.011429
2021-12-16T20:00:00Z,4.714244
2021-12-16T21:00:00Z,4.026611
2021-12-16T22:00:00Z,3.283078
2021-12-16T23:00:00Z,2.591625
2021-12-17T00:00:00Z,2.095722
2021-12-17T01:00:00Z,1.924124
2021-12-17T02:00:00Z,1.787951
2021-12-17T03:00:00Z,1.387035
2021-12-17T04:00:00Z,1.194318
2021-12-17T05:00:00Z,1.18947
2021-12-17T06:00:00Z,1.119685
2021-12-17T07:00:00Z,0.7257333
2021-12-17T08:00:00Z,-0.03626944
2021-12-17T09:00:00Z,0.2012986
2021-12-17T10:00:00Z,0.6238763
2021-12-17T11:00:00Z,1.924754
2021-12-17T12:00:00Z,3.38024
2021-12-17T13:00:00Z,5.401596
2021-12-17T14:00:00Z,6.237943
2021-12-17T15:00:00Z,6.159952
2021-12-17T16:00:00Z,5.012086
2021-12-17T17:00:00Z,3.799972
2021-12-17T18:00:00Z,2.972321
2021-12-17T19:00:00Z,2.539994
2021-12-17T20:00:00Z,1.624903
2021-12-17T21:00:00Z,0.4435389
2021-12-17T22:00:00Z,0.7768194
2021-12-17T23:00:00Z,0.5797027
2021-12-18T00:00:00Z,0.3069264
2021-12-18T01:00:00Z,-0.009719445
2021-12-18T02:00:00Z,0.09973888
2021-12-18T03:00:00Z,-0.02560278
2021-12-18T04:00:00Z,-0.123975
2021-12-18T05:00:00Z,-0.03139861
2021-12-18T06:00:00Z,-0.3156083
2021-12-18T07:00:00Z,-0.2927083
2021-12-18T08:00:00Z,-0.1785416
2021-12-18T09:00:00Z,-0.1998861
2021-12-18T10:00:00Z,-0.1390611
2021-12-18T11:00:00Z,-0.1706319
2021-12-18T12:00:00Z,-0.06911389
2021-12-18T13:00:00Z,0.2455792
2021-12-18T14:00:00Z,0.6689347
2021-12-18T15:00:00Z,1.229931
2021-12-18T16:00:00Z,1.441371
2021-12-18T17:00:00Z,1.00419
2021-12-18T18:00:00Z,0.6379416
2021-12-18T19:00:00Z,1.027882
2021-12-18T20:00:00Z,1.5371
2021-12-18T21:00:00Z,0.8516819
2021-12-18T22:00:00Z,1.121936
2021-12-18T23:00:00Z,1.151763
2021-12-19T00:00:00Z,1.383579
2021-12-19T01:00:00Z,1.561071
2021-12-19T02:00:00Z,1.454881
2021-12-19T03:00:00Z,1.33576
2021-12-19T04:00:00Z,1.316461
2021-12-19T05:00:00Z,1.040917
2021-12-19T06:00:00Z,0.8826527
2021-12-19T07:00:00Z,0.8508638
2021-12-19T08:00:00Z,0.4609125
2021-12-19T09:00:00Z,0.3855056
2021-12-19T10:00:00Z,0.2517111
2021-12-19T11:00:00Z,0.4101319
2021-12-19T12:00:00Z,0.686057
2021-12-19T13:00:00Z,0.9964555
2021-12-19T14:00:00Z,1.222686
2021-12-19T15:00:00Z,1.245533
2021-12-19T16:00:00Z,1.015949
2021-12-19T17:00:00Z,0.894143
2021-12-19T18:00:00Z,0.6105916
2021-12-19T19:00:00Z,0.4275361
2021-12-19T20:00:00Z,0.2313819
2021-12-19T21:00:00Z,0.1446333
2021-12-19T22:00:00Z,0.06727639
2021-12-19T23:00:00Z,-0.1120944
2021-12-20T00:00:00Z,-0.01973055
2021-12-20T01:00:00Z,-0.1122194
2021-12-20T02:00:00Z,-0.3049042
2021-12-20T03:00:00Z,-0.5235972
2021-12-20T04:00:00Z,-0.4996139
2021-12-20T05:00:00Z,-0.6154402
2021-12-20T06:00:00Z,-0.8241569
2021-12-20T07:00:00Z,-1.162219
2021-12-20T08:00:00Z,-1.674708
2021-12-20T09:00:00Z,-1.69844
2021-12-20T10:00:00Z,-1.101175
2021-12-20T11:00:00Z,0.1369764
2021-12-20T12:00:00Z,1.657283
2021-12-20T13:00:00Z,4.36119
2021-12-20T14:00:00Z,5.600934
2021-12-20T15:00:00Z,5.267094
2021-12-20T16:00:00Z,4.35904
2021-12-20T17:00:00Z,2.974407
2021-12-20T18:00:00Z,1.545946
2021-12-20T19:00:00Z,1.092433
2021-12-20T20:00:00Z,1.602757
2021-12-20T21:00:00Z,0.9451346
2021-12-20T22:00:00Z,0.3321277
2021-12-20T23:00:00Z,0.0663
2021-12-21T00:00:00Z,0.120375
2021-12-21T01:00:00Z,-0.629161
2021-12-21T02:00:00Z,-1.29816
2021-12-21T03:00:00Z,-1.888212
2021-12-21T04:00:00Z,-2.663253
2021-12-21T05:00:00Z,-3.954589
2021-12-21T06:00:00Z,-4.560146
2021-12-21T07:00:00Z,-4.774996
2021-12-21T08:00:00Z,-4.951029
2021-12-21T09:00:00Z,-4.75928
2021-12-21T10:00:00Z,-4.39988
2021-12-21T11:00:00Z,-4.021996
2021-12-21T12:00:00Z,-3.682347
2021-12-21T13:00:00Z,-2.918895
2021-12-21T14:00:00Z,-2.680968
2021-12-21T15:00:00Z,-2.625792
2021-12-21T16:00:00Z,-2.559316
2021-12-21T17:00:00Z,-2.360843
2021-12-21T18:00:00Z,-2.227717
2021-12-21T19:00:00Z,-2.289121
2021-12-21T20:00:00Z,-2.502119
2021-12-21T21:00:00Z,-2.687329
2021-12-21T22:00:00Z,-2.883107
2021-12-21T23:00:00Z,-3.308962
2021-12-22T00:00:00Z,-4.252639
2021-12-22T01:00:00Z,-4.641875
2021-12-22T02:00:00Z,-4.861198
2021-12-22T03:00:00Z,-5.037158
2021-12-22T04:00:00Z,-5.058065
2021-12-22T05:00:00Z,-5.47963
2021-12-22T06:00:00Z,-5.769029
2021-12-22T07:00:00Z,-5.902816
2021-12-22T08:00:00Z,-6.254793
2021-12-22T09:00:00Z,-6.327441
2021-12-22T10:00:00Z,-5.532029
2021-12-22T11:00:00Z,-4.291953
2021-12-22T12:00:00Z,-2.537411
2021-12-22T13:00:00Z,0.2736278
2021-12-22T14:00:00Z,1.301586
2021-12-22T15:00:00Z,1.275792
2021-12-22T16:00:00Z,0.3592361
2021-12-22T17:00:00Z,-0.5540236
2021-12-22T18:00:00Z,-1.420919
2021-12-22T19:00:00Z,-1.943715
2021-12-22T20:00:00Z,-2.354265
2021-12-22T21:00:00Z,-2.73825
2021-12-22T22:00:00Z,-3.076847
2021-12-22T23:00:00Z,-3.598304
2021-12-23T00:00:00Z,-3.80959
2021-12-23T01:00:00Z,-3.93782
2021-12-23T02:00:00Z,-4.055744
2021-12-23T03:00:00Z,-3.816582
2021-12-23T04:00:00Z,-3.411068
2021-12-23T05:00:00Z,-2.84879
2021-12-23T06:00:00Z,-2.597128
2021-12-23T07:00:00Z,-1.522255
2021-12-23T08:00:00Z,0.08809166
2021-12-23T09:00:00Z,0.2530069
2021-12-23T10:00:00Z,1.686892
2021-12-23T11:00:00Z,6.309369
2021-12-23T12:00:00Z,7.550002
2021-12-23T13:00:00Z,8.129131
2021-12-23T14:00:00Z,10.54531
2021-12-23T15:00:00Z,8.950989
2021-12-23T16:00:00Z,8.759533
2021-12-23T17:00:00Z,9.809066
2021-12-23T18:00:00Z,9.554322
2021-12-23T19:00:00Z,9.70368
2021-12-23T20:00:00Z,10.40316
2021-12-23T21:00:00Z,10.55715
2021-12-23T22:00:00Z,11.28975
2021-12-23T23:00:00Z,10.93794
